posel,ilosc_kadencji
Stanisław Gucwa,2
Marta Malcharek,2
Stanisław Adamiak,2
Marian Sokołowski,2
Zbigniew Załuski,2
Kazimierz Kuraś,2
Stanisław Ceberek,2
Teofil Fleischer,2
Stanisław Poczęsny,2
Leon Janczak,2
Stefan Całużyński,2
Igor Łopatyński,2
Kazimierz Frątczak,2
Maria Dąbrowska,2
Zdzisław Malicki,2
Włodzimierz Oliwa,2
Franciszek Jeziorski,2
Marceli Faska,2
Jan Kaczmarek,2
Zygmunt Rukściński,2
Jerzy Grzybczak,2
Bronisław Kałwak,2
Zenon Komorowski,2
Czesław Szczepaniak,2
Edmund Matyjas,2
Jan Kaczor,2
Adam Kuć,2
Jan Braś,2
Henryk Świderski,2
Władysław Wicha,2
Władysław Żelazny,2
Jan Słomski,2
Bolesław Gregorek,2
Hilary Chełchowski,2
Antoni Rybak,2
Jakub Talewski,2
Stefan Pastusiak,2
Stefan Olszowski,2
Jerzy Kępiński,2
Zofia Wasilkowska,2
Zygmunt Olczak,2
Władysław Kruczek,2
Piotr Pacosz,2
Józef Kępa,2
Klemens Michalik,2
Jakub Berman,2
Michał Kwaśniewicz,2
Stanisława Kirsch,2
Kazimierz Maj,2
Wacław Jagodziński,2
Zofia Ładyńska,2
Stefania Bruzda,2
Marian Urbaniec,2
Ludwika Mieszkowska,2
Maria Budzanowska,2
Marian Czerwiński,2
Edward Bajda,2
Krystyna Wawrzynowicz,2
Henryk Orzechowski,2
Kazimierz Nowicki,2
Tadeusz Orlof,2
Piotr Nowakowski,2
Stanisław Prufer,2
Zdzisław Kwieciński,2
Michał Gwiazdowicz,2
Maria Kotlicka,2
Danuta Maszczyk,2
Mieczysław Wągrowski,2
Jerzy Hryniewiecki,2
Jan Kubit,2
Witold Jarosiński,2
Eugenia Błajszczak,2
Stanisław Janusz,2
Stanisław Baranik,2
Zbigniew Jakus,2
Ludwik Karolczak,2
Edward Kondak,2
Jan Konieczny,2
Teofil Głowacki,2
Michał Woźniak,2
Władysław Wiśniowski,2
Walter Późny,2
Alojzy Mielich,2
Zdzisław Gomoła,2
Jan Wąsicki,2
Jan Kasiak,2
Kazimierz Kopecki,2
Maksym Rudczyk,2
Stefan Siekierski,2
Tadeusz Stasiak,2
Aleksander Gertz,2
Wojciech Mazurek,2
Piotr Gębka,2
Zbigniew Krzysztoforski,2
Sylwester Kaliski,2
Stanisław Wojciechowski,2
Eugeniusz Makowski,2
Bernard Widera,2
Jan Plasota,2
Stanisław Małolepszy,2
Witold Adamuszek,2
Marian Walczak,2
Franciszek Bogus,2
Józef Kwietniewski,2
Roman Kaczmarek,2
Dyzma Gałaj,2
Jan Warzecha,2
Edward Zgłobicki,2
Elżbieta Rutkowska,2
Bogusław Droszcz,2
Alojzy Karkoszka,2
Józef Pieprzyk,2
Edward Kowalczyk,2
Leon Kotarba,2
Stefan Matlęga,2
Jerzy Putrament,2
Antoni Połowniak,2
Henryka Gwiazda-Pietrasz,2
Dobromiła Kulińska,2
Edmund Listewnik,2
Antoni Gulij,2
Mirosław Żurek,2
Stanisław Włodarczyk,2
Hubert Okwieka,2
Władysław Fołta,2
Maciej Majkut,2
Stanisław Szyndlar,2
Balbina Semczuk,2
Stanisław Stefański,2
Stanisław Roziewicz,2
Kazimierz Mijal,2
Stanisław Kurowski,2
Stanisław Osiński,2
Stanisław Heidner,2
Jan Dubis,2
Zygmunt Łapiński,2
Stanisław Bieniek,2
Leonard Małecki,2
Barbara Majzel,2
Marian Żołnierczyk,2
Mieczysław Tomkowski,2
Tadeusz Klofik,2
Czesław Wojtera,2
Stanisław Zieliński,2
Adolf Kita,2
Antoni Wesołowski,2
Kazimiera Czechowska,2
Antoni Lewko,2
Stefan Poznański,2
Henryk Kostecki,2
Eryk Klasek,2
Stefan Kisielewski,2
Wit Drapich,2
Bronisław Cieniewski,2
Edmund Lewandowski,2
Wacław Śliwiński,2
Zofia Grzebisz,2
Karol Waduła,2
Stanisław Zajączek,2
Henryk Skrobisz,2
Tadeusz Gierzyński,2
Jadwiga Becelewska,2
Halina Auderska,2
Wacław Kozubski,2
Stanisław Gabryl,2
Pelagia Lewińska,2
Jan Śliwa,2
Michał Polnar,2
Helena Kurnatowska,2
Irena Baran,2
Mieczysław Klimaszewski,2
Izydor Adamski,2
Stanisława Paca,2
Kazimierz Witaszewski,2
Adam Polewka,2
Tadeusz Gąsiorek,2
Edward Ruszkowski,2
Władysław Maciejczyk,2
Edward Harasim,2
Tadeusz Rostkowski,2
Zdzisław Piętka,2
Władysław Kądziołka,2
Jan Czapiewski,2
Mieczysław Marynowicz,2
Helena Galus,2
Zbigniew Pruszkowski,2
Zbigniew Zieliński,2
Kazimierz Kuraś,2
Stanisław Wróbel,2
Zygmunt Piątkowski,2
Mieczysław Popiel,2
Bolesław Łęczycki,2
Konstanty Łubieński,2
Edward Sieradzki,2
Jan Ozga,2
Bartłomiej Rusin,2
Jerzy Kaźmierczak,2
Łucja Matuszewska,2
Krzysztof Trębaczkiewicz,2
Jan Napora,2
Kazimierz Fortuna,2
Stanisław Cieślik,2
Marek Kabat,2
Stefan Biskupski,2
Walenty Kubica,2
Tadeusz Pławski,2
Zbigniew Gołacki,2
Tadeusz Fiszbach,2
Roman Gesing,2
Franciszek Grochalski,2
Jacek Koraszewski,2
Antoni Samborski,2
Dionizy Smoleński,2
Mieczysław Wysocki,2
Eugenia Pragierowa,2
Kazimierz Śliwa,2
Bohdan Czeszko,2
Wojciech Jaruzelski,2
Jerzy Kwiatkowski,2
Zofia Łęgowik,2
Jolanta Morawska,2
Genowefa Kocańda,2
Witold Kasperski,2
Adolf Ojczyk,2
Teresa Król,2
Władysław Pawlak,2
Ryszard Frelek,2
Pelagia Pająk,2
Stanisława Zawadecka,2
Konstanty Morawski,2
Władysław Puch,2
Edmund Kowalski,2
Wiesław Mróz,2
Marcin Galek,2
Jerzy Waszczuk,2
Jan Kołder,2
Helena Stępień,2
Zygmunt Januzik,2
Pelagia Dolata,2
Zdzisław Nowak,2
Antoni Daniel,2
Roman Bartkiewicz,2
Ryszard Łabuś,2
Jan Wiensek,2
Piotr Jaroszewicz,2
Jerzy Grochmalicki,2
Stanisław Gębala,2
Aleksander Schmidt,2
Stanisław Antoszewski,2
Józef Serafin,2
Ryszard Bartosiewicz,2
Eustachy Kuroczko,2
Gustaw Holoubek,2
Stanisław Sznajder,2
Wacław Czyżewski,2
Zdzisław Siedlewski,2
Franciszek Ginter,2
Jerzy Zygmanowski,2
Tadeusz Haładaj,2
Mirosław Żurek,2
Witold Lassota,2
Edward Żebrowski,2
Tadeusz Jędruch,2
Maria Riemen,2
Władysław Piątkowski,2
Stanisław Kamieniarz,2
Stanisław Wójtowicz,2
Józef Bezler,2
Stanisław Pawłowski,2
Józef Bień,2
Ferdynand Łukaszek,2
Franciszek Malinowski,2
Jan Domański,2
Władysław Orlewski,2
Józef Zuj,2
Eugeniusz Grochal,2
Władysław Adamiec,2
Helena Porycka,2
Leon Adamowski,2
Mieczysław Połeć,2
Józef Trzaska,2
Stanisław Mazur,2
Franciszek Szałach,2
Stefan Kamiński,2
Wincenty Baranowski,2
Franciszek Niedźwiecki,2
Edward Dzięgiel,2
Stefan Gołębiowski,2
Paweł Pytel,2
Aleksander Gajdek,2
Edmund Osmańczyk,2
Kazimierz Smuda,2
Bolesława Maciejewska,2
Alfred Kowalski,2
Edmund Skoczylas,2
Marian Matera,2
Antoni Chudziński,2
Jadwiga Dymała,2
Józef Drzewiecki,2
Marian Liszka,2
Paweł Warchoł,2
Włodzimierz Szczepanik,2
Roman Góral,2
Mirosław Martin,2
Wit Drapich,2
Teresa Gąsiorkiewicz,2
Andrzej Borodzik,2
Eugenia Krassowska-Jodłowska,2
Władysław Cabaj,2
Eugenia Kempara,2
