filename,kadencja,posel,dane Data i miejce urodzenia,dane Wykształcenie,dane Ukończona szkoła,dane Zawód,dane Lista,dane Okręg wyborczy,dane Liczba głosów,dane Ślubowanie,dane Staż parlamentarny,klub,kadencja_chronologia
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b4c2b699c58f9999c125793e003994a7.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Jacek Kasprzyk,"21-08-1960, Częstochowa",wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Pedagogiki - mgr",pedagog,Lewica i Demokraci,28 Częstochowa,4855,16-12-2010,poseł na Sejm RP IV kadencji,Klub Poselski Sojusz Lewicy Demokratycznej,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b5205006bc7285e2c125793e003991f3.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Teresa Wargocka,"18-12-1955, Mińsk Mazowiecki",wyższe,"Katolicki Uniwersytet Lubelski, Wydział Filozofii Chrześcijańskiej - mgr filozofii chrześcijańskiej",socjolog,Prawo i Sprawiedliwość,18 Siedlce,6787,05-11-2007,brak,Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b52295b13fba4b19c125793e00398c8f.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Tomasz Latos,"08-03-1964, Poznań",wyższe,"Akademia Medyczna w Poznaniu, Wydział Lekarski - lekarz medycyny",lekarz,Prawo i Sprawiedliwość,4 Bydgoszcz,17751,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b725f6f378e08014c125793e0039910d.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Adam Szejnfeld,"13-11-1958, Kalisz",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji - mgr prawa",prawnik,Platforma Obywatelska,38 Piła,57343,05-11-2007,"poseł na Sejm RP III, IV i V kadencji",Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b7e9c74518b38297c125793e003989ea.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Krzysztof Grzegorek,"05-05-1961, Sieradz",wyższe,"Akademia Medyczna w Łodzi, Wydział Lekarski - lekarz medycynyUniwersytet Jagielloński, Medycyna - dr",lekarz,Platforma Obywatelska,33 Kielce,18874,05-11-2007,poseł na Sejm RP V kadencji,Poseł niezrzeszony,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b7f3136bce311d8cc125793e003991eb.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Jarosław Wałęsa,"13-09-1976, Gdańsk",wyższe,"Uniwersytet Św. Krzyża w Massachusetts, Wydział Politologii - licencjat",politolog,Platforma Obywatelska,25 Gdańsk,61278,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b807e1e4928198f7c125793e00399244.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Elżbieta Witek,"17-12-1957, Jawor",wyższe,"Uniwersytet Wrocławski, Wydział Filozoficzno-Historyczny - mgr historii",nauczyciel,Prawo i Sprawiedliwość,1 Legnica,9666,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b892d29c713d2cc4c125793e00398e70.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Konstanty Oświęcimski,"19-09-1964, Trzebiatów",wyższe,"Uniwersytet Szczeciński, Wydział Prawa i Administracji - mgr administracji",magister administracji,Platforma Obywatelska,41 Szczecin,7975,05-11-2007,brak,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b8baba26e83f93fac125793e0039882c.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Zdzisław Czucha,"15-02-1959, Szenajda",wyższe,"Politechnika Gdańska, Wydział Budownictwa Lądowego - mgr inż",inżynier budownictwa,Platforma Obywatelska,26 Gdynia,10560,05-11-2007,brak,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b97030c3ebbb0288c125793e003990bc.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Franciszek Jerzy Stefaniuk,"04-06-1944, Drelów",średnie zawodowe,Liceum Ekonomiczne,ekonomista,Polskie Stronnictwo Ludowe,7 Chełm,13271,05-11-2007,"poseł na Sejm PRL X kadencji oraz na Sejm RP I, II, III, IV i V kadencji",Klub Poselski Polskiego Stronnictwa Ludowego,2007
