posel,ilosc_kadencji,dane Lista
Jan Bury,3,Polskie Stronnictwo Ludowe
Elżbieta Łukacijewska,3,Platforma Obywatelska
Michał Szczerba,3,Platforma Obywatelska
Agnieszka Hanajczyk,3,Platforma Obywatelska
Jadwiga Zakrzewska,3,Platforma Obywatelska
Adam Hofman,3,Prawo i Sprawiedliwość
Małgorzata Sadurska,3,Prawo i Sprawiedliwość
Monika Wielichowska,3,Platforma Obywatelska
Dariusz Piontkowski,3,Prawo i Sprawiedliwość
Andrzej Biernat,3,Platforma Obywatelska
Zbigniew Wassermann,3,Prawo i Sprawiedliwość
Piotr Krzywicki,3,Prawo i Sprawiedliwość
Paweł Suski,3,Platforma Obywatelska
Marcin Duszek,3,Prawo i Sprawiedliwość
Zbigniew Sobotka,3,Sojusz Lewicy Demokratycznej
Stefan Niesiołowski,3,Platforma Obywatelska
Adam Śnieżek,3,Prawo i Sprawiedliwość
Anna Bańkowska,3,Sojusz Lewicy Demokratycznej
Adam Abramowicz,3,Prawo i Sprawiedliwość
Kazimierz Nowak,3,Sojusz Lewicy Demokratycznej
Piotr Walkowski,3,Polskie Stronnictwo Ludowe
Jacek Sasin,3,Prawo i Sprawiedliwość
Jarosław Żaczek,3,Prawo i Sprawiedliwość
Andrzej Sośnierz,3,Prawo i Sprawiedliwość
Grzegorz Adam Woźniak,3,Prawo i Sprawiedliwość
Michał Dworczyk,3,Prawo i Sprawiedliwość
Sławomir Neumann,3,Platforma Obywatelska
Bolesław Grzegorz Piecha,3,Prawo i Sprawiedliwość
Zbigniew Rynasiewicz,3,Platforma Obywatelska
Bożena Szydłowska,3,Platforma Obywatelska
Zbigniew Konwiński,3,Platforma Obywatelska
Stanisław Huskowski,3,Platforma Obywatelska
Krystyna Ozga,3,Polskie Stronnictwo Ludowe
Urszula Pasławska,3,Polskie Stronnictwo Ludowe
Zbigniew Siemiątkowski,3,Sojusz Lewicy Demokratycznej
Krzysztof Brejza,3,Platforma Obywatelska
Barbara Bubula,3,Prawo i Sprawiedliwość
Wojciech Kossakowski,3,Prawo i Sprawiedliwość
Jerzy Jaskiernia,3,Sojusz Lewicy Demokratycznej
Włodzimierz Karpiński,3,Platforma Obywatelska
Wiesław Woda,3,Polskie Stronnictwo Ludowe
Sławomir Jan Piechota,3,Platforma Obywatelska
Dawid Jackiewicz,3,Prawo i Sprawiedliwość
Jerzy Wiatr,3,Sojusz Lewicy Demokratycznej
Bogusław Wontor,3,Sojusz Lewicy Demokratycznej
Lech Sprawka,3,Prawo i Sprawiedliwość
Izabela Leszczyna,3,Platforma Obywatelska
Robert Kropiwnicki,3,Platforma Obywatelska
Bartosz Kownacki,3,Prawo i Sprawiedliwość
Marek Borowski,3,Sojusz Lewicy Demokratycznej
Daniela Chrapkiewicz,3,Prawo i Sprawiedliwość
Janusz Cichoń,3,Platforma Obywatelska
Mieczysław Golba,3,Prawo i Sprawiedliwość
Adam Szejnfeld,3,Platforma Obywatelska
Bronisław Komorowski,3,Platforma Obywatelska
Artur Dunin,3,Platforma Obywatelska
Wiesław Andrzej Szczepański,3,Sojusz Lewicy Demokratycznej
Andrzej Smirnow,3,Platforma Obywatelska
Jerzy Kozdroń,3,Platforma Obywatelska
Jacek Świat,3,Prawo i Sprawiedliwość
Dariusz Seliga,3,Prawo i Sprawiedliwość
Jakub Szulc,3,Platforma Obywatelska
Stanisław Stec,3,Sojusz Lewicy Demokratycznej
Arkady Fiedler,3,Platforma Obywatelska
Elżbieta Rafalska,3,Prawo i Sprawiedliwość
Marek Krząkała,3,Platforma Obywatelska
Zbigniew Chlebowski,3,Platforma Obywatelska
Grzegorz Dolniak,3,Platforma Obywatelska
Adam Rogacki,3,Prawo i Sprawiedliwość
Zbigniew Sosnowski,3,Polskie Stronnictwo Ludowe
Jerzy Borowczak,3,Platforma Obywatelska
Antoni Mężydło,3,Platforma Obywatelska
Longin Pastusiak,3,Sojusz Lewicy Demokratycznej
Jerzy Bielecki,3,Prawo i Sprawiedliwość
Damian Raczkowski,3,Platforma Obywatelska
Włodzimierz Cimoszewicz,3,Sojusz Lewicy Demokratycznej
Dorota Rutkowska,3,Platforma Obywatelska
Tadeusz Jędrzejczak,3,Sojusz Lewicy Demokratycznej
Andrzej Gut-Mostowy,3,Platforma Obywatelska
Grzegorz Matusiak,3,Prawo i Sprawiedliwość
Stefan Strzałkowski,3,Prawo i Sprawiedliwość
Marzena Okła-Drewnowicz,3,Platforma Obywatelska
Artur Gierada,3,Platforma Obywatelska
Janusz Dobrosz,3,Polskie Stronnictwo Ludowe
Władysław Adamski,3,Sojusz Lewicy Demokratycznej
Michał Wójcik,3,Prawo i Sprawiedliwość
Grzegorz Raniewicz,3,Platforma Obywatelska
Tomasz Górski,3,Prawo i Sprawiedliwość
Janusz Śniadek,3,Prawo i Sprawiedliwość
Jarosław Rusiecki,3,Prawo i Sprawiedliwość
Jerzy Budnik,3,Platforma Obywatelska
